GenGoal_frac_Low rewards,Outer_Success,OnStarts_MeanPathDistance,GenGoal_frac_Other,Outer_MeanRewards,OnStarts_AvgFinalGoalDistance,GenGoal_frac_High rewards,OnStarts_AvgTotalRewardInner,GenGoal_frac_Performance Variation,OnStarts_AvgTotalRewardDist,OnStarts_SuccessRate,Outer_iter,OnStarts_AvgInitGoalDistance,GenGoal_frac_Good goals,OnStarts_FeasibilityRate,OnStarts_MinFinalGoalDistance
0.0,0.142156862745,0.252826450432,0.0,0.142156862745,0.243798051097,0.812182741117,0.0,0.0,0.0,0.954907161804,1,0.188350213447,0.187817258883,1.0,0.0105872797529
0.0,0.155637254902,0.420849971768,0.0,0.155637254902,0.394610413413,0.738916256158,0.0,0.0,0.0,0.913548387097,2,0.256600531975,0.261083743842,1.0,0.0154263573154
0.0,0.28431372549,0.285155782629,0.0,0.28431372549,0.22216912705,0.946601941748,0.0,0.0,0.0,0.997602360752,3,0.278115547483,0.0533980582524,1.0,0.0113664645413
0.0,0.276960784314,0.271273663286,0.0,0.276960784314,0.223377783349,1.0,0.0,0.0,0.0,1.0,4,0.298719525822,0.0,1.0,0.0119832398932
0.0,0.287990196078,0.287029689832,0.0,0.287990196078,0.231502484451,1.0,0.0,0.0,0.0,1.0,5,0.321216447005,0.0,1.0,0.0119362210617
0.0,0.305147058824,0.307229620231,0.0,0.305147058824,0.23813422228,1.0,0.0,0.0,0.0,1.0,6,0.350405194582,0.0,1.0,0.0116799969644
0.0,0.319852941176,0.323993403809,0.0,0.319852941176,0.243655685401,1.0,0.0,0.0,0.0,1.0,7,0.374064963791,0.0,1.0,0.0141441188401
0.0,0.332107843137,0.338745324498,0.0,0.332107843137,0.250709094666,1.0,0.0,0.0,0.0,1.0,8,0.392385533423,0.0,1.0,0.0140426779883
0.0,0.395833333333,0.365359797121,0.0,0.395833333333,0.25515269779,1.0,0.0,0.0,0.0,1.0,9,0.43182902024,0.0,1.0,0.0166539549563
0.0,0.327205882353,0.378199037166,0.0,0.327205882353,0.255625844461,1.0,0.0,0.0,0.0,1.0,10,0.451504034674,0.0,1.0,0.0233080175565
0.0,0.319852941176,0.393606938286,0.0,0.319852941176,0.260723678399,1.0,0.0,0.0,0.0,1.0,11,0.47226257611,0.0,1.0,0.0591357583621
0.0,0.40318627451,0.415633395773,0.0,0.40318627451,0.263025615238,1.0,0.0,0.0,0.0,1.0,12,0.50559215718,0.0,1.0,0.0756988543892
0.0,0.40318627451,0.445214789615,0.0,0.40318627451,0.27516376922,1.0,0.0,0.0,0.0,1.0,13,0.545805366785,0.0,1.0,0.0824573589843
0.0,0.376225490196,0.430318851193,0.0,0.376225490196,0.268472153551,1.0,0.0,0.0,0.0,1.0,14,0.526413227248,0.0,1.0,0.0104631820246
0.0,0.398284313725,0.426291021719,0.0,0.398284313725,0.263849515487,1.0,0.0,0.0,0.0,1.0,15,0.521813483364,0.0,1.0,0.0464679533352
0.0,0.408088235294,0.425357476736,0.0,0.408088235294,0.262121451775,1.0,0.0,0.0,0.0,1.0,16,0.521033904258,0.0,1.0,0.0382126413176
0.0,0.406862745098,0.460749138355,0.0,0.406862745098,0.269338614958,1.0,0.0,0.0,0.0,1.0,17,0.572421462848,0.0,1.0,0.0483449551586
0.0,0.40318627451,0.460343804513,0.0,0.40318627451,0.271781722223,1.0,0.0,0.0,0.0,1.0,18,0.570412827117,0.0,1.0,0.0410529961632
0.0,0.397058823529,0.469661431276,0.0,0.397058823529,0.277344533153,1.0,0.0,0.0,0.0,1.0,19,0.581281232807,0.0,1.0,0.0950907974794
0.0,0.400735294118,0.468186081454,0.0,0.400735294118,0.277894079886,1.0,0.0,0.0,0.0,1.0,20,0.579005651673,0.0,1.0,0.0959209103464
0.0,0.394607843137,0.461884550709,0.0,0.394607843137,0.27303238157,1.0,0.0,0.0,0.0,1.0,21,0.571600512887,0.0,1.0,0.10218333405
0.0,0.404411764706,0.452355057755,0.0,0.404411764706,0.272616556249,1.0,0.0,0.0,0.0,1.0,22,0.55719041285,0.0,1.0,0.0157206990792
0.0,0.405637254902,0.442220439116,0.0,0.405637254902,0.271034363198,1.0,0.0,0.0,0.0,1.0,23,0.542117824526,0.0,1.0,0.0765724496616
0.0,0.400735294118,0.434288183366,0.0,0.400735294118,0.271798645898,1.0,0.0,0.0,0.0,1.0,24,0.529529887026,0.0,1.0,0.0702960484282
0.0,0.399509803922,0.445761951191,0.0,0.399509803922,0.273209588522,1.0,0.0,0.0,0.0,1.0,25,0.546892224599,0.0,1.0,0.0927601899902
0.0,0.405637254902,0.453478321593,0.0,0.405637254902,0.273472201467,1.0,0.0,0.0,0.0,1.0,26,0.558812593318,0.0,1.0,0.0930199263628
0.0,0.40318627451,0.43221335676,0.0,0.40318627451,0.271953337642,1.0,0.0,0.0,0.0,1.0,27,0.526396889023,0.0,1.0,0.0868200249857
0.0,0.404411764706,0.438261009648,0.0,0.404411764706,0.268346825525,1.0,0.0,0.0,0.0,1.0,28,0.537782731739,0.0,1.0,0.0786028493436
0.0,0.397058823529,0.478787615368,0.0,0.397058823529,0.270864568988,1.0,0.0,0.0,0.0,1.0,29,0.599758777456,0.0,1.0,0.0436130313539
0.0,0.401960784314,0.464563011448,0.0,0.401960784314,0.270486593196,1.0,0.0,0.0,0.0,1.0,30,0.577345633874,0.0,1.0,0.0774705914978
0.0,0.401960784314,0.479234573158,0.0,0.401960784314,0.273099502734,1.0,0.0,0.0,0.0,1.0,31,0.598795999377,0.0,1.0,0.105521758445
0.0,0.389705882353,0.459837052404,0.0,0.389705882353,0.270984099236,1.0,0.0,0.0,0.0,1.0,32,0.570344222094,0.0,1.0,0.0317828583636
0.0,0.384803921569,0.460753858453,0.0,0.384803921569,0.267677102306,1.0,0.0,0.0,0.0,1.0,33,0.574315099357,0.0,1.0,0.0269053655512
0.0,0.389705882353,0.445546681417,0.0,0.389705882353,0.267894106564,1.0,0.0,0.0,0.0,1.0,34,0.550055066508,0.0,1.0,0.0683154180372
0.0,0.345588235294,0.453262759832,0.0,0.345588235294,0.270623329215,1.0,0.0,0.0,0.0,1.0,35,0.560029695716,0.0,1.0,0.0530414285747
0.0,0.362745098039,0.491725871879,0.0,0.362745098039,0.271916978799,1.0,0.0,0.0,0.0,1.0,36,0.619688973174,0.0,1.0,0.0308940340472
0.0,0.363970588235,0.473895229231,0.0,0.363970588235,0.271414443069,1.0,0.0,0.0,0.0,1.0,37,0.592065833265,0.0,1.0,0.0390706441195
0.0,0.38112745098,0.471926852541,0.0,0.38112745098,0.276421807686,1.0,0.0,0.0,0.0,1.0,38,0.586804104308,0.0,1.0,0.0592584221396
0.0,0.378676470588,0.478387410547,0.0,0.378676470588,0.278709133995,1.0,0.0,0.0,0.0,1.0,39,0.595601896076,0.0,1.0,0.0987742600539
0.0,0.386029411765,0.517827100934,0.0,0.386029411765,0.276985730417,1.0,0.0,0.0,0.0,1.0,40,0.658852501212,0.0,1.0,0.148966173592
0.0,0.401960784314,0.504258643755,0.0,0.401960784314,0.273564169119,1.0,0.0,0.0,0.0,1.0,41,0.639172459619,0.0,1.0,0.10201460988
0.0,0.400735294118,0.526147286259,0.0,0.400735294118,0.276375846446,1.0,0.0,0.0,0.0,1.0,42,0.672613586716,0.0,1.0,0.116425797694
0.0,0.397058823529,0.533894586989,0.0,0.397058823529,0.276933448983,1.0,0.0,0.0,0.0,1.0,43,0.683929076001,0.0,1.0,0.0417991810219
0.0,0.40318627451,0.546255460888,0.0,0.40318627451,0.274216789451,1.0,0.0,0.0,0.0,1.0,44,0.705151311375,0.0,1.0,0.130233430208
0.0,0.392156862745,0.50152237544,0.0,0.392156862745,0.27308278037,1.0,0.0,0.0,0.0,1.0,45,0.635149798921,0.0,1.0,0.0707210369156
0.0,0.390931372549,0.486180519369,0.0,0.390931372549,0.271484622003,1.0,0.0,0.0,0.0,1.0,46,0.611541542933,0.0,1.0,0.0136416420119
0.0,0.394607843137,0.486128225186,0.0,0.394607843137,0.274646096587,1.0,0.0,0.0,0.0,1.0,47,0.609599567456,0.0,1.0,0.0621779765001
0.0,0.398284313725,0.486416981831,0.0,0.398284313725,0.27636421405,1.0,0.0,0.0,0.0,1.0,48,0.609372074231,0.0,1.0,0.0742812081754
0.0,0.394607843137,0.486841951659,0.0,0.394607843137,0.271494987824,1.0,0.0,0.0,0.0,1.0,49,0.613283594712,0.0,1.0,0.0623414867374
