GenGoal_frac_Other,GenGoal_frac_Performance Variation,Outer_iter,GenGoal_frac_Low rewards,GenGoal_frac_Good goals,GenGoal_frac_High rewards,Outer_MeanRewards,Outer_Success
0.0,0.0,1,0.7033333333333334,0.16,0.13666666666666666,0.17769607843137253,0.17769607843137253
0.0,0.0,2,0.69,0.17666666666666667,0.13333333333333333,0.2071078431372549,0.2071078431372549
0.0,0.0,3,0.68,0.12,0.2,0.21813725490196076,0.21813725490196076
0.0,0.0,4,0.7,0.13,0.17,0.1997549019607843,0.1997549019607843
0.0,0.0,5,0.6566666666666666,0.09333333333333334,0.25,0.28553921568627455,0.28553921568627455
0.0,0.0,6,0.5733333333333334,0.05333333333333334,0.37333333333333335,0.3480392156862745,0.3480392156862745
0.0,0.0,7,0.65,0.08333333333333333,0.26666666666666666,0.24509803921568624,0.24509803921568624
0.0,0.0,8,0.5866666666666667,0.1,0.31333333333333335,0.303921568627451,0.303921568627451
0.0,0.0,9,0.6133333333333333,0.05333333333333334,0.3333333333333333,0.3370098039215686,0.3370098039215686
0.0,0.0,10,0.5766666666666667,0.006666666666666667,0.4166666666666667,0.3933823529411764,0.3933823529411764
0.0,0.0,11,0.5733333333333334,0.023333333333333334,0.4033333333333333,0.40441176470588225,0.40441176470588225
0.0,0.0,12,0.6033333333333334,0.013333333333333334,0.38333333333333336,0.3884803921568627,0.3884803921568627
0.0,0.0,13,0.57,0.03666666666666667,0.3933333333333333,0.3799019607843137,0.3799019607843137
0.0,0.0,14,0.45666666666666667,0.08333333333333333,0.46,0.4522058823529412,0.4522058823529412
0.0,0.0,15,0.31666666666666665,0.17333333333333334,0.51,0.5355392156862746,0.5355392156862746
0.0,0.0,16,0.2633333333333333,0.06333333333333334,0.6733333333333333,0.6090686274509804,0.6090686274509804
0.0,0.0,17,0.3233333333333333,0.03333333333333333,0.6433333333333333,0.6188725490196078,0.6188725490196078
0.0,0.0,18,0.25666666666666665,0.04,0.7033333333333334,0.6470588235294118,0.6470588235294118
0.0,0.0,19,0.24,0.03666666666666667,0.7233333333333334,0.6740196078431372,0.6740196078431372
0.0,0.0,20,0.28,0.02,0.7,0.6973039215686274,0.6973039215686274
0.0,0.0,21,0.27,0.02666666666666667,0.7033333333333334,0.6973039215686274,0.6973039215686274
0.0,0.0,22,0.29,0.016666666666666666,0.6933333333333334,0.7095588235294118,0.7095588235294118
0.0,0.0,23,0.24666666666666667,0.03666666666666667,0.7166666666666667,0.7120098039215685,0.7120098039215685
0.0,0.0,24,0.25333333333333335,0.02666666666666667,0.72,0.7328431372549019,0.7328431372549019
0.0,0.0,25,0.22333333333333333,0.006666666666666667,0.77,0.7340686274509803,0.7340686274509803
0.0,0.0,26,0.22,0.013333333333333334,0.7666666666666667,0.7450980392156863,0.7450980392156863
0.0,0.0,27,0.29333333333333333,0.06,0.6466666666666666,0.6801470588235294,0.6801470588235294
0.0,0.0,28,0.26666666666666666,0.1,0.6333333333333333,0.6691176470588235,0.6691176470588235
0.0,0.0,29,0.25666666666666665,0.14,0.6033333333333334,0.6727941176470589,0.6727941176470589
0.0,0.0,30,0.25333333333333335,0.03,0.7166666666666667,0.7107843137254901,0.7107843137254901
0.0,0.0,31,0.22666666666666666,0.06333333333333334,0.71,0.6801470588235294,0.6801470588235294
0.0,0.0,32,0.23,0.01,0.76,0.7095588235294118,0.7095588235294118
0.0,0.0,33,0.2833333333333333,0.016666666666666666,0.7,0.7156862745098039,0.7156862745098039
0.0,0.0,34,0.24333333333333335,0.03,0.7266666666666667,0.7254901960784313,0.7254901960784313
0.0,0.0,35,0.26666666666666666,0.023333333333333334,0.71,0.7230392156862745,0.7230392156862745
0.0,0.0,36,0.27666666666666667,0.023333333333333334,0.7,0.7303921568627451,0.7303921568627451
0.0,0.0,37,0.29,0.013333333333333334,0.6966666666666667,0.7279411764705882,0.7279411764705882
0.0,0.0,38,0.27,0.03666666666666667,0.6933333333333334,0.7132352941176471,0.7132352941176471
0.0,0.0,39,0.2966666666666667,0.04,0.6633333333333333,0.7107843137254901,0.7107843137254901
0.0,0.0,40,0.21,0.03666666666666667,0.7533333333333333,0.7083333333333333,0.7083333333333333
0.0,0.0,41,0.25333333333333335,0.05333333333333334,0.6933333333333334,0.6997549019607843,0.6997549019607843
0.0,0.0,42,0.24666666666666667,0.03333333333333333,0.72,0.715686274509804,0.715686274509804
0.0,0.0,43,0.22,0.01,0.77,0.7254901960784313,0.7254901960784313
0.0,0.0,44,0.24333333333333335,0.03,0.7266666666666667,0.7365196078431372,0.7365196078431372
0.0,0.0,45,0.16333333333333333,0.03,0.8066666666666666,0.7414215686274509,0.7414215686274509
0.0,0.0,46,0.25666666666666665,0.006666666666666667,0.7366666666666667,0.7340686274509804,0.7340686274509804
